Restaurant ID,Restaurant Name,City,Locality,Cuisines,Aggregate rating,Votes,Price range,Average Cost for two,Has Table booking,Has Online delivery,content_features
6317637,Le Petit Souffle,Makati City,"Century City Mall, Poblacion, Makati City","French, Japanese, Desserts",4.8,314,3,1100,Yes,No,"French  Japanese  Desserts MakatiCity CenturyCityMall,Poblacion,MakatiCity Price3 TableBooking_Yes Delivery_No"
6304287,Izakaya Kikufuji,Makati City,"Little Tokyo, Legaspi Village, Makati City",Japanese,4.5,591,3,1200,Yes,No,"Japanese MakatiCity LittleTokyo,LegaspiVillage,MakatiCity Price3 TableBooking_Yes Delivery_No"
6300002,Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4.4,270,4,4000,Yes,No,"Seafood  Asian  Filipino  Indian MandaluyongCity EdsaShangri-La,Ortigas,MandaluyongCity Price4 TableBooking_Yes Delivery_No"
6318506,Ooma,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",4.9,365,4,1500,No,No,"Japanese  Sushi MandaluyongCity SMMegamall,Ortigas,MandaluyongCity Price4 TableBooking_No Delivery_No"
6314302,Sambo Kojin,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",4.8,229,4,1500,Yes,No,"Japanese  Korean MandaluyongCity SMMegamall,Ortigas,MandaluyongCity Price4 TableBooking_Yes Delivery_No"
18189371,Din Tai Fung,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Chinese,4.4,336,3,1000,No,No,"Chinese MandaluyongCity SMMegamall,Ortigas,MandaluyongCity Price3 TableBooking_No Delivery_No"
6300781,Buffet 101,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Asian, European",4.0,520,4,2000,Yes,No,"Asian  European PasayCity SMbytheBay,MallofAsiaComplex,PasayCity Price4 TableBooking_Yes Delivery_No"
6301290,Vikings,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Seafood, Filipino, Asian, European",4.2,677,4,2000,Yes,No,"Seafood  Filipino  Asian  European PasayCity SMbytheBay,MallofAsiaComplex,PasayCity Price4 TableBooking_Yes Delivery_No"
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","European, Asian, Indian",4.9,621,4,6000,Yes,No,"European  Asian  Indian PasayCity SofitelPhilippinePlazaManila,PasayCity Price4 TableBooking_Yes Delivery_No"
6314987,Locavore,Pasig City,Kapitolyo,Filipino,4.8,532,3,1100,Yes,No,Filipino PasigCity Kapitolyo Price3 TableBooking_Yes Delivery_No
6309903,Silantro Fil-Mex,Pasig City,Kapitolyo,"Filipino, Mexican",4.9,1070,3,800,No,No,Filipino  Mexican PasigCity Kapitolyo Price3 TableBooking_No Delivery_No
6309455,Mad Mark's Creamery & Good Eats,Pasig City,Kapitolyo,"American, Ice Cream, Desserts",4.2,488,3,900,Yes,No,American  Ice Cream  Desserts PasigCity Kapitolyo Price3 TableBooking_Yes Delivery_No
6318433,Silantro Fil-Mex,Quezon City,"UP Town Center, Diliman, Quezon City","Filipino, Mexican",4.8,294,3,800,No,No,"Filipino  Mexican QuezonCity UPTownCenter,Diliman,QuezonCity Price3 TableBooking_No Delivery_No"
6310470,Guevarra's,San Juan City,Addition Hills,Filipino,4.2,458,3,1000,Yes,No,Filipino SanJuanCity AdditionHills Price3 TableBooking_Yes Delivery_No
6314605,Sodam Korean Restaurant,San Juan City,Little Baguio,Korean,4.3,223,3,700,No,No,Korean SanJuanCity LittleBaguio Price3 TableBooking_No Delivery_No
18185059,Cafe Arabelle,Santa Rosa,"Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",3.6,29,3,800,No,No,"Cafe  American  Italian  Filipino SantaRosa Nuvali,DonJose,SantaRosa Price3 TableBooking_No Delivery_No"
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",4.0,72,3,850,No,No,"Italian  Pizza SantaRosa Solenad3,DonJose,SantaRosa Price3 TableBooking_No Delivery_No"
6318213,Balay Dako,Tagaytay City,Tagaytay City,Filipino,4.5,211,3,1200,Yes,No,Filipino TagaytayCity TagaytayCity Price3 TableBooking_Yes Delivery_No
18255654,Hobing Korean Dessert Cafe,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",4.5,118,2,600,No,No,"Cafe  Korean  Desserts TaguigCity BGCStopoverPavillion,BonifacioGlobalCity Price2 TableBooking_No Delivery_No"
6308205,Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,"Cafe, Bakery, American, Italian",4.4,392,4,1500,Yes,No,Cafe  Bakery  American  Italian TaguigCity BonifacioGlobalCity Price4 TableBooking_Yes Delivery_No
6315438,NIU by Vikings,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",4.7,535,4,3000,Yes,No,"Seafood  American  Mediterranean  Japanese TaguigCity SMAuraPremier,BonifacioGlobalCity,TaguigCity Price4 TableBooking_Yes Delivery_No"
6310406,The Food Hall by Todd English,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",4.5,618,4,1800,Yes,No,"American  Asian  Italian  Seafood TaguigCity SMAuraPremier,BonifacioGlobalCity,TaguigCity Price4 TableBooking_Yes Delivery_No"
6600681,Chez Michou,Bras�_lia,Asa Norte,"Fast Food, French",3.0,6,2,55,No,No,Fast Food  French Bras�_lia AsaNorte Price2 TableBooking_No Delivery_No
6601005,Caf�� Daniel Briand,Bras�_lia,Asa Norte,Cafe,3.8,9,1,30,No,No,Cafe Bras�_lia AsaNorte Price1 TableBooking_No Delivery_No
6600292,Casa do Biscoito Mineiro,Bras�_lia,Asa Norte,Bakery,3.7,11,2,45,No,No,Bakery Bras�_lia AsaNorte Price2 TableBooking_No Delivery_No
6600441,Maori,Bras�_lia,Asa Norte,Brazilian,3.8,11,3,60,No,No,Brazilian Bras�_lia AsaNorte Price3 TableBooking_No Delivery_No
6600970,Pizza �� Bessa,Bras�_lia,Asa Sul,Pizza,3.2,11,2,50,No,No,Pizza Bras�_lia AsaSul Price2 TableBooking_No Delivery_No
6600379,Sushi Loko,Bras�_lia,Asa Sul,Japanese,3.1,10,3,80,No,No,Japanese Bras�_lia AsaSul Price3 TableBooking_No Delivery_No
6600214,Beirute,Bras�_lia,Asa Sul,Arabian,3.7,8,3,90,No,No,Arabian Bras�_lia AsaSul Price3 TableBooking_No Delivery_No
6601218,New Koto,Bras�_lia,Asa Sul,Japanese,3.7,5,4,200,No,No,Japanese Bras�_lia AsaSul Price4 TableBooking_No Delivery_No
6600060,Sandubas Caf��,Bras�_lia,Asa Sul,"Brazilian, Cafe",0.0,2,1,30,No,No,Brazilian  Cafe Bras�_lia AsaSul Price1 TableBooking_No Delivery_No
6600083,Villa Tevere,Bras�_lia,Asa Sul,Italian,4.1,12,4,150,No,No,Italian Bras�_lia AsaSul Price4 TableBooking_No Delivery_No
6601515,Rovereto,Bras�_lia,�guas Claras,Pizza,3.1,9,4,100,No,No,Pizza Bras�_lia �guasClaras Price4 TableBooking_No Delivery_No
6601361,Buena Carne,Bras�_lia,�guas Claras,"Bar Food, Brazilian",3.6,9,3,60,No,No,Bar Food  Brazilian Bras�_lia �guasClaras Price3 TableBooking_No Delivery_No
6601602,Taco Pep,Bras�_lia,�guas Claras,"Mexican, Grill",4.3,29,4,100,No,No,Mexican  Grill Bras�_lia �guasClaras Price4 TableBooking_No Delivery_No
6601589,Coco Bambu,Bras�_lia,"Bras�_lia Shopping, Asa Norte",International,4.2,17,4,230,No,No,"International Bras�_lia Bras�_liaShopping,AsaNorte Price4 TableBooking_No Delivery_No"
6601862,Tayp��,Bras�_lia,Lago Sul,"Peruvian, Latin American",3.6,5,4,100,No,No,Peruvian  Latin American Bras�_lia LagoSul Price4 TableBooking_No Delivery_No
6601595,Outback Steakhouse,Bras�_lia,"ParkShopping, Guar�� I","American, Grill",4.0,10,4,150,No,No,"American  Grill Bras�_lia ParkShopping,Guar��I Price4 TableBooking_No Delivery_No"
6601158,Manzu��,Bras�_lia,"Pont��o Lago Sul, Lago Sul",Seafood,3.2,6,4,240,No,No,"Seafood Bras�_lia Pont��oLagoSul,LagoSul Price4 TableBooking_No Delivery_No"
6600427,Coco Bambu,Bras�_lia,Setor De Clubes Esportivos Sul,International,4.9,30,4,230,No,No,International Bras�_lia SetorDeClubesEsportivosSul Price4 TableBooking_No Delivery_No
6600116,Gero,Bras�_lia,"Shopping Iguatemi, Lago Norte",Italian,3.3,8,4,350,No,No,"Italian Bras�_lia ShoppingIguatemi,LagoNorte Price4 TableBooking_No Delivery_No"
6601457,Brazilian American Burgers,Bras�_lia,Sudoeste,"American, Burger",3.6,9,2,50,No,No,American  Burger Bras�_lia Sudoeste Price2 TableBooking_No Delivery_No
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,Barra da Tijuca,"Seafood, Bar Food, Brazilian",4.0,7,4,140,No,No,Seafood  Bar Food  Brazilian RiodeJaneiro BarradaTijuca Price4 TableBooking_No Delivery_No
7304307,Confeitaria Colombo,Rio de Janeiro,Centro,"Desserts, Cafe",4.8,29,4,100,No,No,Desserts  Cafe RiodeJaneiro Centro Price4 TableBooking_No Delivery_No
7301215,Bibi,Rio de Janeiro,Copacabana,"Juices, Healthy Food",4.7,24,3,60,No,No,Juices  Healthy Food RiodeJaneiro Copacabana Price3 TableBooking_No Delivery_No
7300596,Cervantes,Rio de Janeiro,Copacabana,"Beverages, Bar Food, Fast Food",4.5,29,3,90,No,No,Beverages  Bar Food  Fast Food RiodeJaneiro Copacabana Price3 TableBooking_No Delivery_No
7300612,Amir,Rio de Janeiro,Copacabana,Lebanese,4.2,11,4,170,No,No,Lebanese RiodeJaneiro Copacabana Price4 TableBooking_No Delivery_No
7300704,TT Burger,Rio de Janeiro,"Galeria River, Copacabana",Burger,4.8,19,3,60,No,No,"Burger RiodeJaneiro GaleriaRiver,Copacabana Price3 TableBooking_No Delivery_No"
7300955,Braseiro da G��vea,Rio de Janeiro,G��vea,"Brazilian, Bar Food",4.9,40,4,100,No,No,Brazilian  Bar Food RiodeJaneiro G��vea Price4 TableBooking_No Delivery_No
7300521,Balada Mix,Rio de Janeiro,Ipanema,"Brazilian, Healthy Food, Juices, Pizza",4.6,21,3,90,No,No,Brazilian  Healthy Food  Juices  Pizza RiodeJaneiro Ipanema Price3 TableBooking_No Delivery_No
7300515,Garota de Ipanema,Rio de Janeiro,Ipanema,"Brazilian, Bar Food",4.9,49,4,120,No,No,Brazilian  Bar Food RiodeJaneiro Ipanema Price4 TableBooking_No Delivery_No
